,PC1,PC2
rms_mean,0.11994716937875521,-0.01627225521663054
rms_std,0.1348015503677216,-0.039567733816835315
zcr_mean,-0.11691552208181691,-0.06914835493777251
zcr_std,0.015903086673393487,-0.07568660720618232
spectral_centroid_mean,-0.10707608337559436,-0.156043768867586
spectral_centroid_std,0.034073713771957774,-0.1411265505452971
spectral_bandwidth_mean,-0.07174466178801477,-0.21605522381879994
spectral_bandwidth_std,0.045800465006249014,-0.04548458615980523
spectral_rolloff_std,0.042944980987016365,-0.11716932617434692
spectral_flatness_mean,-0.09622011447449452,-0.16552541940313403
spectral_flatness_std,-0.04916557394955881,-0.15974348769287777
spectral_contrast_mean,0.13446305263443015,0.05323983453096947
spectral_contrast_std,0.039155553703016675,-0.15863606713821887
perc_mean,0.10478416745540006,0.029001648584070682
harm_perc_ratio,0.11535256144146477,-0.042418959836883784
mfcc_1_mean,0.09217953307832635,0.11417383876320288
mfcc_1_std,0.08695993965879893,-0.011566287547283921
mfcc_2_mean,0.06639893923576151,0.2135795796073773
mfcc_2_std,0.05785195721183636,-0.07659300823348851
mfcc_3_mean,0.04925299930926321,-0.18034667257446246
mfcc_3_std,0.027502509980716808,0.007176624578371634
mfcc_4_mean,0.061213736503727856,-0.12597951724000458
mfcc_4_std,0.08675349299537109,-0.10620236347714006
mfcc_5_mean,0.10236312076397273,0.007411251249011829
mfcc_5_std,0.05438760082459912,-0.007113806103706218
mfcc_6_mean,-0.020761659382349373,-0.10434856000507996
mfcc_6_std,0.10448582443693523,-0.04462105202350554
mfcc_7_mean,0.12293236451802549,0.08280293709365011
mfcc_7_std,0.11427494258159435,-0.06813016306173958
mfcc_8_mean,-0.12205188732040033,0.0629389510085352
mfcc_8_std,0.09416370989434922,-0.08903753435242578
mfcc_9_mean,0.07011880023142421,0.10232754503509002
mfcc_9_std,0.1011509048146448,0.00201984581333991
mfcc_10_mean,-0.11634068456288114,-0.013122460887133102
mfcc_10_std,0.10633755027011695,-0.0401044924059291
mfcc_11_mean,0.0958469812791031,0.027454847270696223
mfcc_11_std,0.06843726400392602,-0.0024801047698383917
mfcc_12_mean,-0.11143160165208034,-0.03678233172569254
mfcc_12_std,0.09784677048924757,-0.006894138223378003
mfcc_13_mean,0.09960424327505836,0.13644897107078893
mfcc_13_std,0.07790930161100355,0.047334417005587937
mfcc_14_mean,-0.12343194731770221,-0.022676561909413733
mfcc_14_std,0.06505457450716745,-0.01381686212461233
mfcc_15_mean,0.11321628977224923,0.08371889919029549
mfcc_15_std,0.10841308208729412,-0.0410507466400111
mfcc_16_mean,-0.13365861726965547,0.0016428722775248478
mfcc_16_std,0.10531891137355019,-0.06317969902105387
mfcc_17_mean,0.04569659864281079,0.07283636086144483
mfcc_17_std,0.11588869128095439,0.007837398823529655
mfcc_18_mean,-0.07804368944778904,0.06779026904225634
mfcc_18_std,0.09420722312971402,-0.013783580365512298
mfcc_19_mean,0.07248660564473279,0.19902323769291902
mfcc_19_std,0.13503046772233634,-0.0033661303426261264
mfcc_20_mean,-0.12755335543301644,0.014180539695750758
mfcc_20_std,0.1150671856368374,-0.006755088137357973
mfcc_21_mean,0.08795459500800551,0.20228853041604947
mfcc_21_std,0.09345673742732426,-0.006479867807548934
mfcc_22_mean,-0.12250288057087072,0.0045064253285589965
mfcc_22_std,0.1043135919219651,-0.05126127900486995
mfcc_23_mean,0.054767510211786795,0.1981652233117664
mfcc_23_std,0.11972740657627676,-0.04857164780027298
mfcc_24_mean,-0.13485720350133254,0.001257066022019382
mfcc_24_std,0.10007153777644083,-0.019360845525279217
mfcc_25_mean,0.025550988722914187,0.2529762899615853
mfcc_25_std,0.11720971521573603,0.005426296306198777
mfcc_26_mean,-0.13696912316841936,0.02061175382886969
mfcc_26_std,0.11480859812558551,-0.03764512062819552
mfcc_27_mean,0.01759050577120322,0.21584651110996741
mfcc_27_std,0.11045674956710055,-0.010422974581018004
mfcc_28_mean,-0.13342752031503244,0.03974811235228825
mfcc_28_std,0.1035670618102183,-0.01731459382553528
mfcc_29_mean,0.016560072407884038,0.20965849068530898
mfcc_29_std,0.10147094165720538,-0.07729757624214686
mfcc_30_std,0.09508266401829919,-0.12007423715725134
mfcc_31_mean,0.03565728692219257,0.19484817918386493
mfcc_31_std,0.08993036772818078,-0.11351316832823015
mfcc_32_mean,-0.12087911271855264,-0.06454188547019354
mfcc_32_std,0.08423748443354312,-0.14214772992721858
mfcc_33_mean,0.09247075583308734,0.13219677775100278
mfcc_33_std,0.09175695942755249,-0.11013591679252745
mfcc_34_mean,-0.11053934023897481,-0.09990883906662269
mfcc_34_std,0.08619893548643888,-0.07235895781316795
mfcc_35_mean,0.09872648671466334,0.06010682146655915
mfcc_35_std,0.08234713061559833,-0.07098258559310852
mfcc_36_mean,-0.10615812707946266,-0.13756841093408506
mfcc_36_std,0.0836190086449313,-0.08726003318582706
mfcc_37_mean,0.07181396347993621,0.012917371285761649
mfcc_37_std,0.08069954605761616,-0.019306282934803926
mfcc_38_mean,-0.09791447843340292,-0.13501526061227953
mfcc_38_std,0.10144351443651614,-0.05415212461139358
mfcc_39_mean,0.06493898596009504,0.009061149076651991
mfcc_39_std,0.10270234166343319,-0.03518948300590024
mfcc_40_mean,-0.07657273135480683,-0.15628292835338173
mfcc_40_std,0.10922986871147962,-0.022480231309903956
chroma_mean,-0.1278496331785732,0.07053510224312794
chroma_std,0.12900653232041812,-0.05091921569432499
chroma_0_mean,-0.098931238378466,0.1016205678904991
chroma_1_mean,-0.10247254511179442,0.11579352486243395
chroma_2_mean,-0.09647695181471685,0.11805025662703847
chroma_3_mean,-0.07737243529779454,0.06061464323421036
chroma_4_mean,-0.0641387423283336,-0.004402281216901833
chroma_5_mean,-0.08399944516190994,-0.06381308118830388
chroma_6_mean,-0.07747762611652846,-0.020509420272912054
chroma_7_mean,-0.062055232262349075,-0.0012652690489694351
chroma_8_mean,-0.0711870121560309,0.018690517947189733
chroma_9_mean,-0.08351437591123968,0.0342997745417696
chroma_10_mean,-0.09454864098509823,0.04078053998647425
chroma_11_mean,-0.09628871399050866,0.08205172640949858
tempo,0.009882544167679495,-0.0026051710119717976
energy,0.11153555597774815,-0.08341619386244935
max_amplitude,0.1381099588569803,-0.0025981416714041354
